seq_index,seq_start_row,seq_start_time,recon_error,anomaly_flag
497,7952,2025-07-21 02:40:51.058,0.008692299,0
498,7968,2025-07-21 02:40:57.004,0.008683111,0
499,7984,2025-07-21 02:40:59.439,0.008686684,0
500,8000,2025-07-21 02:41:07.108,0.008693424,0
501,8016,2025-07-21 02:41:14.442,0.008685072,0
502,8032,2025-07-21 02:41:26.420,0.008681492,0
503,8048,2025-07-21 02:41:28.452,0.008691567,0
504,8064,2025-07-21 02:41:33.875,0.008683391,0
505,8080,2025-07-21 02:41:42.330,0.00868242,0
506,8096,2025-07-21 02:41:55.694,0.008686698,0
507,8112,2025-07-21 02:41:58.427,0.008679182,0
508,8128,2025-07-21 02:42:03.571,0.008687362,0
509,8144,2025-07-21 02:42:09.315,0.008689853,0
510,8160,2025-07-21 02:42:17.096,0.008688874,0
511,8176,2025-07-21 02:42:30.204,0.008688155,0
512,8192,2025-07-21 02:42:32.980,0.008686741,0
513,8208,2025-07-21 02:42:40.271,0.008697332,0
514,8224,2025-07-21 02:42:47.660,0.008688365,0
515,8240,2025-07-21 02:43:02.479,0.008679873,0
516,8256,2025-07-21 02:43:04.513,0.0086944485,0
517,8272,2025-07-21 02:43:10.019,0.008698993,0
518,8288,2025-07-21 02:43:18.322,0.008697166,0
519,8304,2025-07-21 02:47:12.994,0.008704823,0
520,8320,2025-07-21 02:47:15.414,0.008705367,0
521,8336,2025-07-21 02:47:21.138,0.008704216,0
522,8352,2025-07-21 02:47:36.487,0.008712038,0
523,8368,2025-07-21 02:47:44.150,0.008698613,0
524,8384,2025-07-21 02:49:05.051,0.008681596,0
525,8400,2025-07-21 02:49:07.043,0.008705641,0
526,8416,2025-07-21 02:49:18.450,0.008771907,0
527,8432,2025-07-21 02:49:25.895,0.008788028,0
528,8448,2025-07-21 02:49:35.662,0.00879078,0
529,8464,2025-07-21 02:49:53.571,0.00876035,0
530,8480,2025-07-21 02:49:57.208,0.008701363,0
531,8496,2025-07-21 02:50:04.830,0.008694255,0
532,8512,2025-07-21 02:50:12.034,0.008685904,0
533,8528,2025-07-21 02:50:19.752,0.008682324,0
534,8544,2025-07-21 02:50:21.806,0.00874254,0
535,8560,2025-07-21 02:50:27.222,0.00877564,0
536,8576,2025-07-21 02:50:35.822,0.008775512,0
537,8592,2025-07-21 02:50:47.860,0.0087756375,0
538,8608,2025-07-21 02:55:18.410,0.008725181,0
539,8624,2025-07-21 02:55:53.648,0.008683214,0
540,8640,2025-07-21 02:56:01.980,0.008682619,0
541,8656,2025-07-21 02:56:10.944,0.008686729,0
542,8672,2025-07-21 02:56:13.449,0.008688248,0
543,8688,2025-07-21 02:56:18.499,0.00869996,0
544,8704,2025-07-21 02:56:24.591,0.0087082395,0
545,8720,2025-07-21 02:56:33.956,0.008701903,0
546,8736,2025-07-21 02:57:34.971,0.008683305,0
547,8752,2025-07-21 02:57:36.717,0.008687655,0
548,8768,2025-07-21 02:57:49.525,0.008686437,0
549,8784,2025-07-21 02:57:57.861,0.008682707,0
550,8800,2025-07-21 02:58:07.501,0.008682642,0
551,8816,2025-07-21 02:58:09.494,0.008687681,0
552,8832,2025-07-21 02:58:14.982,0.008683513,0
553,8848,2025-07-21 02:58:22.424,0.0086823795,0
554,8864,2025-07-21 02:58:30.411,0.008690321,0
555,8880,2025-07-21 02:58:34.295,0.008691452,0
556,8896,2025-07-21 02:58:39.635,0.008701593,0
557,8912,2025-07-21 02:58:45.902,0.008711929,0
558,8928,2025-07-21 02:58:53.346,0.008698227,0
559,8944,2025-07-21 03:00:44.783,0.008681492,0
560,8960,2025-07-21 03:00:46.787,0.008691568,0
561,8976,2025-07-21 03:01:15.865,0.008683391,0
562,8992,2025-07-21 03:01:24.281,0.00868242,0
563,9008,2025-07-21 03:01:33.428,0.008686698,0
564,9024,2025-07-21 03:01:36.402,0.008679182,0
565,9040,2025-07-21 03:01:41.517,0.008687362,0
566,9056,2025-07-21 03:01:47.346,0.008689854,0
567,9072,2025-07-21 03:01:54.916,0.008688875,0
568,9088,2025-07-21 03:02:00.618,0.008688987,0
569,9104,2025-07-21 03:02:03.394,0.0086875735,0
570,9120,2025-07-21 03:02:10.682,0.008698164,0
571,9136,2025-07-21 03:02:17.859,0.008689275,0
572,9152,2025-07-21 03:02:31.706,0.008683183,0
573,9168,2025-07-21 03:02:33.922,0.008698827,0
574,9184,2025-07-21 03:02:39.280,0.00868999,0
575,9200,2025-07-21 03:02:47.731,0.008688085,0
576,9216,2025-07-21 03:30:48.073,0.008692512,0
577,9232,2025-07-21 03:32:12.775,0.00868387,0
578,9248,2025-07-21 03:32:15.195,0.008692351,0
579,9264,2025-07-21 03:32:37.267,0.008701866,0
580,9280,2025-07-21 03:32:44.690,0.00869198,0
581,9296,2025-07-21 03:33:18.326,0.008683305,0
582,9312,2025-07-21 03:33:20.194,0.008686824,0
583,9328,2025-07-21 03:33:26.950,0.008685606,0
584,9344,2025-07-21 03:33:35.452,0.008729697,0
585,9360,2025-07-21 03:34:55.977,0.008723149,0
586,9376,2025-07-21 03:34:57.972,0.008717649,0
587,9392,2025-07-21 03:35:03.461,0.008735731,0
588,9408,2025-07-21 03:35:31.463,0.00869996,0
589,9424,2025-07-21 03:35:37.498,0.0087082395,0
590,9440,2025-07-21 03:35:46.917,0.008701903,0
591,9456,2025-07-21 03:37:15.399,0.008683305,0
592,9472,2025-07-21 03:37:17.261,0.008686823,0
593,9488,2025-07-21 03:37:29.893,0.0086856065,0
594,9504,2025-07-21 03:37:38.378,0.008681877,0
595,9520,2025-07-21 03:37:47.739,0.00868181,0
596,9536,2025-07-21 03:37:49.791,0.008687681,0
597,9552,2025-07-21 03:37:55.277,0.008683513,0
598,9568,2025-07-21 03:38:02.814,0.0086823795,0
599,9584,2025-07-21 03:38:10.785,0.008690321,0
600,9600,2025-07-21 03:38:14.649,0.008683453,0
601,9616,2025-07-21 03:38:19.981,0.00868961,0
602,9632,2025-07-21 03:38:26.245,0.008697812,0
603,9648,2025-07-21 03:38:33.640,0.00869165,0
604,9664,2025-07-21 03:41:08.455,0.008683187,0
605,9680,2025-07-21 03:41:10.891,0.008686823,0
606,9696,2025-07-21 03:41:30.253,0.008689511,0
607,9712,2025-07-21 03:41:38.050,0.00868187,0
608,9728,2025-07-21 03:41:46.354,0.008681656,0
609,9744,2025-07-21 03:41:48.355,0.008691572,0
610,9760,2025-07-21 03:41:53.785,0.008687065,0
611,9776,2025-07-21 03:42:01.185,0.008695304,0
612,9792,2025-07-21 03:42:10.805,0.008698706,0
613,9808,2025-07-21 03:42:31.213,0.0086909775,0
614,9824,2025-07-21 03:49:48.602,0.00869352,0
615,9840,2025-07-21 03:50:56.286,0.008697494,0
616,9856,2025-07-21 03:51:03.703,0.008688365,0
617,9872,2025-07-21 03:52:05.863,0.008679873,0
618,9888,2025-07-21 03:52:08.117,0.0086944485,0
619,9904,2025-07-21 03:52:13.425,0.008682382,0
620,9920,2025-07-21 03:52:21.953,0.008681788,0
621,9936,2025-07-21 03:52:30.704,0.008685899,0
622,9952,2025-07-21 03:52:33.114,0.008679895,0
623,9968,2025-07-21 03:52:38.169,0.008684951,0
624,9984,2025-07-21 03:52:44.183,0.008686543,0
625,10000,2025-07-21 03:52:53.465,0.008689981,0
626,10016,2025-07-21 03:52:57.828,0.008687851,0
627,10032,2025-07-21 03:53:00.224,0.008690518,0
628,10048,2025-07-21 03:53:07.549,0.008701274,0
629,10064,2025-07-21 03:53:14.789,0.008688013,0
630,10080,2025-07-21 03:53:24.234,0.008679823,0
631,10096,2025-07-21 03:53:26.456,0.008690583,0
632,10112,2025-07-21 03:53:32.989,0.008682241,0
633,10128,2025-07-21 03:53:40.086,0.0087298555,0
634,10144,2025-07-21 03:53:54.752,0.00872313,0
635,10160,2025-07-21 03:53:57.167,0.008714421,0
636,10176,2025-07-21 03:54:02.378,0.00872601,0
637,10192,2025-07-21 03:54:29.666,0.008687361,0
638,10208,2025-07-21 03:54:35.396,0.008689853,0
639,10224,2025-07-21 03:54:43.203,0.008688874,0
640,10240,2025-07-21 03:54:49.673,0.008688985,0
641,10256,2025-07-21 03:54:52.461,0.008687573,0
642,10272,2025-07-21 03:54:59.813,0.008698163,0
643,10288,2025-07-21 03:55:07.119,0.008689197,0
644,10304,2025-07-21 03:55:17.048,0.008679873,0
645,10320,2025-07-21 03:55:19.353,0.0086944485,0
646,10336,2025-07-21 03:55:24.577,0.008682381,0
647,10352,2025-07-21 03:55:32.917,0.008681788,0
648,10368,2025-07-21 03:56:05.983,0.008685898,0
649,10384,2025-07-21 03:56:08.405,0.008688248,0
650,10400,2025-07-21 03:56:13.594,0.00869996,0
651,10416,2025-07-21 03:56:19.582,0.0087082395,0
652,10432,2025-07-21 03:56:28.977,0.008701903,0
